Colour name:	red
Number of non-unique CAUS samples:	813
Number of unique CAUS samples:	662
Centroid in Munsell coordinates:	4.27R 3.79/8.82
Centroid in Cartesian coordinates:	 8.51	 2.34	3.79
Polyhedron vertices in Munsell coordinates:
0.48R 3.33/12.39
1.18R 5.07/8.96
2.70R 4.21/14.97
3.33R 5.38/8.13
3.57R 1.44/4.76
3.59R 3.45/13.00
4.56R 5.54/13.24
4.62R 4.79/15.36
4.77R 5.36/6.40
5.32R 2.53/10.48
5.49R 5.93/11.41
5.56R 5.73/8.38
5.80R 1.41/2.19
6.03R 4.95/15.52
6.56R 3.64/2.66
6.58R 3.92/15.25
6.72R 4.24/15.40
7.26R 5.16/14.64
7.47R 1.37/2.79
7.49R 4.43/15.29
7.56R 3.42/13.84
7.70R 5.75/8.83
7.81R 3.15/2.32
8.05R 4.76/14.92
8.86R 3.74/13.14
9.04R 4.45/13.58
9.05R 2.16/8.17
9.22R 5.07/12.73
0.09YR 4.27/9.30
0.94YR 2.40/6.17
0.99YR 5.32/6.94
1.34YR 3.20/4.81
3.31RP 2.91/8.17
6.95RP 1.99/5.87
7.46RP 3.85/3.87
8.31RP 1.72/4.12
8.34RP 4.27/13.02
8.55RP 4.25/13.49
9.56RP 3.18/11.70
Polyhedron vertices in Cartesian coordinates:
1959	ss	women	Dynamic Red	2.88R 3.88/12.44	2.88
1926-27	fw	women	Peony Red	2.95R 2.46/6.84	2.95
1984-85	fw	women	Red Brown	2.95R 3.15/4.71	2.95
1931	ss	women	Rose Red	2.99R 3.03/8.73	2.99
1999-2000	na	interiors	Strong Red	3.01R 4.31/9.87	3.01
1953	ss	silk	Ardent Red	3.04R 4.45/10.85	3.04
1959-60	fw	silk	Sizzle Red	3.06R 3.51/11.93	3.06
1956-57	fw	silk	Red Champagne	3.07R 3.60/11.41	3.07
1927-28	fw	silk	Claret Red	3.09R 2.70/6.22	3.09
2003	ss	men	Red Cape	3.09R 3.84/13.43	3.09
1966-67	fw	women	Rubian Red	3.12R 1.89/5.02	3.12
2003	ss	youth	Cupboard Red	3.15R 4.80/10.38	3.15
1983	ss	women	Triple Crown Red	3.17R 3.26/9.54	3.17
1995-96	fw	youth	Genevieve Red	3.19R 3.63/11.16	3.19
1956	ss	silk	Exotic Red	3.19R 4.08/10.40	3.19
1945-46	fw	silk	Mandarin Red	3.23R 3.82/11.77	3.23
2000	ss	youth	Hot Bed Red	3.25R 4.52/14.87	3.25
1953-54	fw	silk	Red CHianti	3.26R 3.05/9.87	3.26
2015-16	fw	men	mooring red	3.27R 2.80/6.71	3.27
1955-56	fw	silk	Red Geranium	3.30R 4.28/10.73	3.30
1973-74	fw	men	Roseberry Red	3.32R 2.34/7.90	3.32
1985-86	na	interiors	Pompeian Red	3.33R 5.38/8.13	3.33
1940-41	fw	women	Rancho Red	3.34R 2.84/7.00	3.34
1983-84	fw	women	Viola Red	3.35R 1.60/2.89	3.35
1999	ss	men	Raku Red	3.35R 3.32/5.69	3.35
1950-51	fw	silk	Carnation Red	3.36R 3.06/9.58	3.36
1981	ss	women	Batik Red	3.41R 3.27/8.37	3.41
1938-39	fw	silk	Fete Red	3.42R 4.01/13.72	3.42
1937-38	fw	silk	Red Currant	3.48R 2.63/8.23	3.48
1929-30	fw	silk	Cherry Red	3.49R 3.18/10.20	3.49
1956	ss	women	Redglow	3.50R 4.24/13.23	3.50
1970-71	fw	women	Strong Red	3.52R 4.95/13.49	3.52
1933	ss	silk	Bohemian Red	3.53R 3.33/9.29	3.53
1959-60	fw	women	Red Hot	3.55R 2.09/7.30	3.55
1990-91	na	interiors	goya red	3.56R 3.35/7.88	3.56
1953-54	fw	women	Twilight Red	3.57R 1.44/4.76	3.57
1985-86	fw	women	Cuckoo Red	3.59R 3.45/13.00	3.59
1995	ss	youth	Cochineal Red	3.60R 3.64/11.72	3.60
1942-43	fw	women	Valor Red	3.65R 2.22/6.68	3.65
1983	ss	men	Victory Red	3.65R 3.96/11.13	3.65
1990	ss	youth	Comic Book Red	3.65R 4.69/13.88	3.65
1932-33	fw	women	Sultana Red	3.66R 1.65/3.30	3.66
1937-38	fw	women	Red Currant	3.66R 2.09/6.65	3.66
2014-15	fw	youth	Strong Red	3.70R 4.39/10.68	3.70
1947	ss	women	Nasturtium Red	3.71R 3.62/9.41	3.71
1957-58	fw	women	Tropic Red	3.76R 3.05/9.98	3.76
1937	ss	silk	Rhythm Red	3.77R 4.04/12.01	3.77
1938	ss	women	Red Bordeaux	3.78R 2.27/7.08	3.78
1949-50	fw	women	Bacchante Red	3.80R 2.86/9.30	3.80
1930-31	fw	silk	Firenze Red	3.80R 4.01/7.36	3.80
1942-43	fw	silk	Freedom Red	3.81R 3.51/10.42	3.81
1985-86	fw	women	Sumac Red	3.83R 3.96/10.98	3.83
1933	ss	women	Dahlia Red	3.85R 2.39/7.89	3.85
1997	ss	youth	Martial Arts Red	3.86R 3.36/10.53	3.86
1988	ss	men	Chukker Red	3.88R 3.07/8.68	3.88
1949	ss	silk	Cuba Red	3.92R 4.06/11.75	3.92
1993	ss	youth	Tee Red	3.95R 4.33/6.80	3.95
1987-88	fw	men	Red	3.96R 3.58/9.72	3.96
1931-32	fw	women	Barolo Red	3.97R 2.74/4.09	3.97
1999-2000	na	interiors	Strong Red	3.97R 4.66/11.86	3.97
1972-73	fw	men	Carnation Red	3.99R 2.51/8.18	3.99
1999	ss	men	Hot Pepper Red	4.01R 3.66/10.89	4.01
1982	ss	men	Barn Red	4.01R 3.76/6.28	4.01
2004-05	fw	women	Siren Red	4.01R 3.80/12.93	4.01
1960-61	fw	silk	Strawberry Red	4.02R 3.75/12.54	4.02
1976-77	fw	women	Tuscany Red	4.03R 3.68/12.16	4.03
1936-37	fw	women	Longchamps Red	4.05R 2.26/8.19	4.05
1965-66	fw	women	Glowing Red	4.07R 3.01/9.96	4.07
1983-84	fw	men	Arroyo Red	4.07R 3.40/6.41	4.07
1988	ss	women	Red	4.09R 3.58/11.55	4.09
1932-33	fw	silk	Bordeaux Red	4.11R 2.28/5.54	4.11
1943-44	fw	women	Red Apple	4.11R 3.44/10.81	4.11
1939-40	fw	women	Bermuda Red	4.11R 3.56/9.41	4.11
1945-46	fw	women	Hero Red	4.12R 3.74/8.89	4.12
2005	ss	women	Dramatic Red	4.13R 3.59/10.67	4.13
1983-84	fw	men	Taco Red	4.13R 3.76/9.38	4.13
1986	ss	women	Palatka Red	4.13R 4.30/8.62	4.13
1981-82	fw	women	Gallant Red	4.16R 2.59/7.91	4.16
1933-34	fw	silk	Araby Red	4.17R 3.48/12.24	4.17
1989-90	na	interiors	ruby red	4.25R 3.41/6.78	4.25
1992-93	fw	men	field red	4.27R 3.51/11.34	4.27
1935-36	fw	silk	Rustic Red	4.28R 2.96/6.92	4.28
1926-27	fw	silk	Carnival Red	4.29R 3.99/13.60	4.29
1938	ss	silk	Red Poppy	4.29R 4.59/10.67	4.29
1996-97	fw	men	WIne Red	4.31R 1.88/5.72	4.31
