Colour name:	mauve
Number of non-unique CAUS samples:	238
Number of unique CAUS samples:	181
Centroid in Munsell coordinates:	1.19RP 5.15/3.85
Centroid in Cartesian coordinates:	 3.28	-2.02	5.15
Polyhedron vertices in Munsell coordinates:
6.12R 7.99/2.53
9.25R 3.26/1.81
0.49YR 3.56/1.06
1.11YR 4.43/2.35
2.31YR 7.62/1.47
2.58YR 6.58/1.07
2.94YR 7.77/1.60
3.36YR 8.01/2.23
3.44YR 3.83/2.15
4.89YR 7.01/2.49
4.91YR 6.00/2.22
7.06YR 5.69/1.37
7.81PB 4.73/3.17
8.91PB 4.00/3.88
9.77PB 6.25/4.27
9.95PB 3.53/4.88
0.70P 4.22/5.53
1.27P 4.66/5.88
1.71P 7.22/2.32
2.64P 3.10/2.14
2.84P 6.16/4.85
3.29P 3.38/6.76
3.64P 3.95/6.80
5.12P 4.78/7.07
5.60P 6.71/4.93
5.71P 5.68/0.90
6.27P 7.15/3.67
6.95P 2.29/3.18
8.01P 4.25/7.90
8.56P 7.45/3.31
9.86P 5.26/8.24
9.86P 6.98/5.40
0.42RP 3.05/1.16
1.20RP 3.27/6.02
1.59RP 6.00/8.41
1.94RP 5.27/9.13
2.79RP 4.44/7.92
3.10RP 2.42/2.94
3.49RP 4.65/7.79
5.49RP 7.20/5.95
6.70RP 3.05/3.83
7.60RP 6.85/6.00
8.11RP 5.34/5.57
8.92RP 4.34/5.15
1986	ss	women	Lamar Mauve	1.67P 5.20/4.66	81.67
1985	ss	women	Trumpet Mauve	1.71P 7.22/2.32	81.71
2000-01	fw	men	Imported Mauve	1.74P 4.20/3.98	81.74
1957-58	fw	women	Verbena Mauve	1.95P 5.18/3.77	81.95
1946	ss	silk	Sentimental Mauve	1.98P 4.99/5.39	81.98
1950-51	fw	silk	Viennese Mauve	2.00P 1.97/4.97	82.00
1939	ss	women	Wistaria Mauve	2.13P 4.49/5.03	82.13
1954	ss	women	French Mauve	2.24P 5.14/3.85	82.24
1949	ss	women	Wedgewood Mauve	2.33P 4.83/2.30	82.33
2003-04	fw	youth	Vintage Mauve	2.64P 3.10/2.14	82.64
1953	ss	silk	Charm Mauve	2.84P 6.16/4.85	82.84
1954-55	fw	women	Florentine Mauve	3.29P 3.38/6.76	83.29
1956-57	fw	silk	Mauve Thistle	3.64P 3.95/6.80	83.64
1988-89	fw	men	Mountain Mauve	3.85P 3.71/4.43	83.85
1995	ss	youth	Auto mechanic Mauve	4.31P 4.56/4.01	84.31
1990-91	na	interiors	madras mauve	4.33P 4.66/5.95	84.33
1938-39	fw	women	Twilight Mauve	4.52P 3.32/2.26	84.52
1939-40	fw	women	Rico Mauve	4.77P 3.23/4.67	84.77
1939	ss	women	Sky Mauve	5.02P 3.82/6.57	85.02
1947	ss	silk	Tulip Mauve	5.12P 4.78/7.07	85.12
