Colour name:	coral
Number of non-unique CAUS samples:	279
Number of unique CAUS samples:	215
Centroid in Munsell coordinates:	6.53R 5.84/8.28
Centroid in Cartesian coordinates:	 7.59	 3.30	5.84
Polyhedron vertices in Munsell coordinates:
0.78R 6.05/13.05
1.16R 6.72/11.30
2.35R 7.62/6.36
2.82R 3.99/7.12
2.97R 4.07/6.42
3.03R 4.81/12.71
3.66R 5.40/13.90
4.04R 5.16/13.83
4.18R 3.87/10.09
4.21R 7.08/4.04
4.46R 6.69/11.88
4.93R 4.72/13.53
5.92R 4.49/12.90
6.41R 3.83/8.34
6.73R 7.56/7.86
7.04R 8.02/5.31
7.20R 4.38/11.40
7.93R 3.95/9.86
8.53R 7.18/10.05
8.57R 5.63/13.01
8.89R 4.76/10.82
8.91R 6.39/12.34
9.05R 4.46/9.67
0.06YR 5.70/11.21
2.10YR 7.05/8.78
2.95YR 7.80/3.55
3.47YR 8.00/5.99
3.70YR 4.04/4.17
3.87YR 8.16/5.14
4.45YR 7.12/5.85
4.70YR 8.11/3.63
4.84YR 5.77/5.86
4.95YR 8.13/4.06
5.45YR 6.82/5.12
Polyhedron vertices in Cartesian coordinates:
1930-31	fw	silk	Rose Coral	8.78R 6.52/5.97	8.78
1987	ss	men	St. Regis Coral	8.82R 7.09/5.15	8.82
1987	ss	men	Coral Bisque	8.84R 7.51/2.63	8.84
1937	ss	women	French Coral	8.87R 4.84/7.52	8.87
1959	ss	women	Coraline	8.87R 6.13/7.97	8.87
2007	ss	men	Coral	8.89R 4.76/10.82	8.89
2011-12	na	interiors	Pink Coral	8.91R 6.39/12.34	8.91
1940	ss	women	Sun Coral	9.05R 4.46/9.67	9.05
1952	ss	women	Rico Coral	9.15R 6.11/9.64	9.15
1939	ss	silk	Charm Coral	9.30R 6.43/6.82	9.30
1950	ss	women	Cosmis Coral	9.36R 6.29/7.73	9.36
1940	ss	women	Coral Melon	9.49R 5.13/9.14	9.49
1945-46	fw	silk	Imperial Coral	9.50R 6.45/7.42	9.50
1971	ss	silk	Coralette	9.66R 7.93/4.53	9.66
1971	ss	silk	Petite Coral	9.94R 7.66/7.14	9.94
1999	ss	women	Water Destiny Coral	0.06YR 5.70/11.21	10.06
2001-02	fw	youth	Culturally-cued Coral	0.07YR 5.40/11.87	10.07
1971-72	fw	women	Capucine Coral	0.08YR 6.89/11.49	10.08
2003	ss	youth	Coral Coral	0.11YR 6.04/7.41	10.11
1965	ss	women	Misty Coral	0.22YR 5.91/5.94	10.22
1935	ss	silk	Coral Sky	0.28YR 7.04/6.69	10.28
1963	ss	women	Coral Chiffon	0.43YR 6.70/5.91	10.43
1942-43	fw	silk	Coral Sean	0.50YR 7.42/4.90	10.50
1946	ss	silk	Love Coral	0.70YR 6.88/6.87	10.70
1981-82	fw	women	Antique Coral	0.76YR 5.06/6.39	10.76
1986-87	fw	women	Duchess Coral	0.81YR 7.01/5.60	10.81
1989	ss	youth	Kiln Coral	0.91YR 7.84/5.46	10.91
1951	ss	silk	Coral Petal	0.97YR 6.60/8.29	10.97
2016	ss	men	fuzzy coral	1.00YR 7.15/7.74	11.00
1938	ss	silk	Blush Coral	1.39YR 6.87/7.09	11.39
1949	ss	women	Ceramic Coral	1.49YR 6.06/8.07	11.49
1934	ss	women	Coraltint	1.55YR 6.61/5.57	11.55
1990	ss	youth	Puck Coral	1.56YR 7.49/6.16	11.56
2001-02	fw	men	Sunrise Coral	1.66YR 5.98/3.92	11.66
1946	ss	women	Cloud Coral	1.73YR 6.42/6.34	11.73
1962	ss	women	Coralee	1.77YR 6.86/6.14	11.77
1957	ss	women	Horizon Coral	1.77YR 7.00/5.10	11.77
1970	ss	women	Coral Shell	1.84YR 7.67/7.12	11.84
1991	ss	youth	Saltaire Coral	1.92YR 8.54/3.84	11.92
1989	ss	youth	Jazz Coral	1.93YR 7.93/3.93	11.93
1975	ss	women	Cool Coral	2.10YR 7.05/8.78	12.10
1937	ss	women	Rustcoral	2.37YR 5.66/7.44	12.37
1948	ss	silk	Coral Tile	2.41YR 6.47/4.85	12.41
1998	ss	women	Sun-Bleached Coral	2.75YR 6.50/11.12	12.75
1943	ss	women	Sky Coral	2.82YR 6.77/5.23	12.82
1989-90	fw	men	Coral	2.91YR 6.85/4.37	12.91
1996	ss	youth	Found Coral	2.93YR 7.97/5.34	12.93
1991	ss	women	Coral	2.95YR 7.80/3.55	12.95
1972-73	fw	men	Coralina	3.07YR 5.51/5.94	13.07
1987	ss	women	Glace Coral	3.47YR 8.00/5.99	13.47
1942	ss	women	Faded Coral	3.48YR 6.70/4.81	13.48
1954	ss	women	Coral Sand	3.62YR 7.28/5.08	13.62
1997-98	fw	men	Casual Coral	3.70YR 4.04/4.17	13.70
1932	ss	silk	Coral Shell	3.78YR 7.15/5.80	13.78
1960	ss	silk	Coral Sponge	3.87YR 8.16/5.14	13.87
1935	ss	women	Coralmist	4.45YR 7.12/5.85	14.45
1990-91	fw	women	Lagoon Coral	4.70YR 8.11/3.63	14.70
1998-99	fw	women	Watercolor Coral	4.84YR 5.77/5.86	14.84
1993-94	fw	youth	Cornelia Coral	4.95YR 8.13/4.06	14.95
1940	ss	women	Coral Haze	4.98YR 6.38/4.81	14.98
1950-51	fw	women	Coral Brown	5.17YR 2.76/2.77	15.17
1936	ss	silk	Tropez Coral	5.45YR 6.82/5.12	15.45
1984	ss	women	Coral Reef	6.60YR 8.59/4.24	16.60
1990-91	fw	men	Coral	6.61YR 4.92/8.06	16.61
1995-96	fw	youth	Cameo Coral	7.47YR 6.92/9.96	17.47
2005	ss	women	Kiss Coral	9.15RP 6.70/11.72	99.15
1995	ss	youth	Tropical Fish Coral	9.79RP 5.85/13.14	99.79
1983-84	fw	men	Cochita Coral	9.99RP 7.18/7.96	99.99
