Colour name:	gray
Number of non-unique CAUS samples:	599
Number of unique CAUS samples:	485
Centroid in Munsell coordinates:	9.62P 5.25/0.55
Centroid in Cartesian coordinates:	 0.43	-0.33	5.25
Polyhedron vertices in Munsell coordinates:
0.37R 2.68/1.04
3.16R 4.78/2.49
4.35R 4.29/2.13
7.10R 2.80/1.10
7.32R 2.09/0.60
9.42R 5.78/2.46
0.15YR 3.12/1.27
1.25YR 7.11/2.14
1.85YR 6.08/2.46
9.63YR 5.38/2.64
0.80Y 8.52/1.93
1.40Y 7.32/3.21
3.75Y 2.26/1.00
7.62Y 8.52/0.55
0.65GY 7.11/1.68
1.56GY 4.03/1.43
3.25GY 8.36/0.76
3.55GY 8.46/0.20
3.73GY 8.36/0.73
6.75GY 4.21/1.16
7.46GY 5.39/1.33
3.08B 7.07/1.27
4.36B 3.77/1.21
8.96B 7.75/1.29
9.25B 5.49/3.22
9.52B 2.65/1.01
2.64PB 2.10/0.76
3.29PB 8.01/0.64
4.53PB 5.21/3.85
4.83PB 6.69/2.29
5.20PB 3.17/2.22
7.00PB 3.77/3.10
7.61PB 4.77/4.04
7.78PB 6.16/2.80
0.14P 3.10/2.70
0.68P 3.47/3.08
1.10P 1.99/0.49
8.02P 4.46/2.90
4.82RP 5.27/2.44
Polyhedron vertices in Cartesian coordinates:
1944	ss	silk	Pearl Grey	0.26Y 6.31/1.20	20.26
1942	ss	silk	Dream Gray	0.30Y 6.47/0.53	20.30
1939-40	fw	silk	Pilgrim Grey	0.30Y 6.78/0.32	20.30
1933	ss	silk	Oyster Grey	0.53Y 7.21/1.08	20.53
1983-84	fw	men	Light Brownish Gray	0.58Y 6.33/0.81	20.58
1975	ss	silk	Moonbeam Gray	0.64Y 8.13/1.37	20.64
1935-36	fw	silk	Silver Grey	0.66Y 6.89/0.89	20.66
1996	ss	youth	Rope Gray	0.66Y 7.96/2.13	20.66
1934-35	fw	women	Winter Grey	0.68Y 5.91/1.72	20.68
1983-84	fw	women	Ska Grey	0.76Y 6.15/0.50	20.76
1946-47	fw	women	Daybreak Grey	0.77Y 5.70/1.01	20.77
1997	ss	youth	Rope Gray	0.80Y 8.52/1.93	20.80
1985	ss	men	Cloud Grey	0.81Y 6.31/0.87	20.81
1978	ss	women	Glace Gray	0.86Y 7.68/0.41	20.86
1941-42	fw	silk	Seagrey	1.00Y 4.53/0.67	21.00
1986-87	fw	men	Tinted Grey	1.03Y 7.27/0.33	21.03
1991	ss	men	sandpiper gray	1.05Y 6.28/1.82	21.05
1984-85	na	interiors	Foundation Grey	1.15Y 8.01/1.28	21.15
1948	ss	women	Radar Grey	1.21Y 5.14/0.75	21.21
1980-81	fw	men	Striped Gray	1.23Y 6.33/1.52	21.23
1928-29	fw	women	Chickadee Grey	1.26Y 3.51/0.34	21.26
1971-72	fw	women	Abbey Gray	1.39Y 6.38/0.71	21.39
1987-88	fw	youth	Mauve Gray	1.40Y 7.32/3.21	21.40
1999	ss	men	Smoked Glass Gray	1.63Y 7.15/1.35	21.63
1997-98	fw	women	Polar Gray	1.64Y 6.50/1.21	21.64
1990-91	na	interiors	kamakura grey	1.74Y 3.28/0.29	21.74
2014-15	na	interiors	Light Brownish Gray	1.75Y 5.77/0.58	21.75
1921-22	fw	silk	Pearl Grey	1.75Y 6.35/1.14	21.75
1986	ss	women	Paducah Grey	1.84Y 7.70/0.53	21.84
2014-15	na	interiors	Yellowish Gray	2.01Y 7.34/0.98	22.01
2004-05	fw	youth	Camp Gray	2.11Y 4.38/1.35	22.11
1955	ss	silk	Ice Gray	2.27Y 7.09/0.68	22.27
1994-95	fw	women	Light Brownish Gray	2.29Y 6.10/1.06	22.29
1984-85	fw	men	Lichen Grey	2.32Y 5.64/1.83	22.32
1981-82	fw	women	Glamour Gray	2.55Y 3.54/0.98	22.55
2000-01	fw	men	Stonehenge Grey	2.58Y 6.97/0.83	22.58
1970	ss	silk	Gray Gull	2.60Y 6.16/1.08	22.60
1979-80	fw	women	Phantom Gray	2.61Y 7.51/1.04	22.61
1980-81	fw	men	Sports Grey	2.63Y 6.06/0.35	22.63
1968-69	fw	silk	Frosted Gray	2.65Y 8.14/0.85	22.65
1967-68	fw	silk	Misted Gray	2.70Y 6.83/1.14	22.70
1986-87	na	interiors	Salem Grey	2.73Y 4.01/0.56	22.73
1981	ss	women	Corona Gray	2.78Y 7.65/0.25	22.78
1977	ss	women	Moon Mist Gray	2.88Y 7.69/0.99	22.88
2000	ss	youth	Cement Mixer Grey	2.99Y 6.53/1.01	22.99
1990	ss	men	Seafoam Gray	3.13Y 4.56/1.73	23.13
1986	ss	women	Wilmar Grey	3.42Y 6.33/0.51	23.42
1947	ss	women	Spring Grey	3.57Y 4.89/0.75	23.57
2000-01	fw	women	Desk-to-dinner Grey	3.63Y 6.43/1.37	23.63
1987-88	na	interiors	Driftwood Grey	3.67Y 5.72/1.75	23.67
1977-78	fw	men	Kirk Gray	3.70Y 5.04/0.70	23.70
2000-01	fw	men	Donatello's Grey	3.75Y 2.26/1.00	23.75
1945	ss	women	Seafoam Grey	3.83Y 6.30/0.47	23.83
1972-73	fw	women	Gray Stone	4.09Y 4.33/0.62	24.09
1937	ss	women	Cruise Grey	4.23Y 6.17/0.33	24.23
2000	ss	women	Positive Grey	4.25Y 6.48/1.58	24.25
1950	ss	silk	Grey Diamond	4.26Y 7.66/0.08	24.26
1988	ss	women	Yellowish Gray	4.33Y 8.90/3.71	24.33
1990-91	fw	youth	Marble Gray	4.34Y 4.82/0.39	24.34
