r,g,b,xyz_x,xyz_y,xyz_z,xyy_x,xyy_y,xyy_Y,munsell_notation,hue_number,hue_family,value,chroma,conversion_success
249,147,121,0.6944913725490195,0.654149019607843,0.5385827450980392,0.3679964275762356,0.3466198599914097,0.654149019607843,3.6YR 8.4/4.1,3.6,YR,8.4,4.1,SUCCESS
230,103,33,0.5397698039215686,0.4899850980392157,0.18856117647058823,0.4430457854718148,0.4021822470488034,0.4899850980392157,7.7YR 7.5/8.5,7.7,YR,7.5,8.5,SUCCESS
244,194,194,,,,,,,FAILED,,,,,FAILED
217,166,169,,,,,,,FAILED,,,,,FAILED
196,131,121,0.5863392156862745,0.5650862745098038,0.5270921568627451,0.34931966113891344,0.3366579287980524,0.5650862745098038,3.5YR 7.9/2.9,3.5,YR,7.9,2.9,SUCCESS
236,213,197,,,,,,,FAILED,,,,,FAILED
199,173,163,,,,,,,FAILED,,,,,FAILED
194,172,153,,,,,,,FAILED,,,,,FAILED
226,88,34,0.5129733333333333,0.4448627450980392,0.18497411764705882,0.4488701055464926,0.3892708925984313,0.4448627450980392,5.2YR 7.2/8.7,5.2,YR,7.2,8.7,SUCCESS
217,96,59,0.5273329411764706,0.46687529411764706,0.2812188235294118,0.4134559773750522,0.3660540921472208,0.46687529411764706,3.7YR 7.3/6.6,3.7,YR,7.3,6.6,SUCCESS
170,56,30,0.37470039215686274,0.3072909803921568,0.15086745098039217,0.4498966470319571,0.36895926621746966,0.3072909803921568,2.3YR 6.1/7.9,2.3,YR,6.1,7.9,SUCCESS
203,109,81,0.5384945098039216,0.49789333333333335,0.36824,0.38337166135137046,0.35446637040974643,0.49789333333333335,4.1YR 7.5/4.8,4.1,YR,7.5,4.8,SUCCESS
158,71,50,0.3904854901960784,0.3450196078431373,0.23152,0.4038007813735597,0.3567845431754717,0.3450196078431373,2.8YR 6.4/5.5,2.8,YR,6.4,5.5,SUCCESS
180,116,94,0.5203160784313726,0.5020313725490196,0.4182282352941177,0.36118621422590313,0.34849357609757314,0.5020313725490196,6.1YR 7.6/3.3,6.1,YR,7.6,3.3,SUCCESS
136,45,23,0.2993329411764706,0.24611058823529414,0.11706,0.45182090039919875,0.37148570129704084,0.24611058823529414,2.9YR 5.6/7.3,2.9,YR,5.6,7.3,SUCCESS
86,7,12,0.15739450980392156,0.09473098039215688,0.05451058823529412,0.5132941648911271,0.3089361854507227,0.09473098039215688,4.6R 3.6/9.7,4.6,R,3.6,9.7,SUCCESS
168,124,109,0.5227454901960784,0.5187113725490196,0.47697137254901956,0.3442674984865671,0.3416107264684431,0.5187113725490196,8.0YR 7.7/2.2,8.0,YR,7.7,2.2,SUCCESS
121,68,59,0.3328105882352941,0.3083058823529412,0.26086431372549024,0.36897747049956714,0.3418098120432982,0.3083058823529412,2.4YR 6.1/3.4,2.4,YR,6.1,3.4,SUCCESS
62,29,30,0.1621733333333333,0.14152156862745097,0.1300721568627451,0.3738719435569466,0.32626167835632386,0.14152156862745097,7.2R 4.4/3.1,7.2,R,4.4,3.1,SUCCESS
151,127,115,,,,,,,FAILED,,,,,FAILED
103,76,71,,,,,,,FAILED,,,,,FAILED
