hex_color,r,g,b,our_munsell,our_hue_num,our_hue_family,our_value,our_chroma,closest_rgb_r,closest_rgb_g,closest_rgb_b,closest_munsell,closest_hue_num,closest_hue_family,closest_value,closest_chroma,hue_diff_circular,value_diff,chroma_diff,rgb_distance
#00622d,0,98,45,1G 3.8/8.6,1,G,3.8,8.6,0,102,51,1.4G 3.7/8.1,1.4,G,3.7,8.1,0.40,0.10,0.50,7.2
#003118,0,49,24,10Y 1.5/4.4,10,Y,1.5,4.4,0,51,17,9.7GY 1.7/5.4,9.7,GY,1.7,5.4,9.70,-0.20,-1.00,7.3
#b6e5af,182,229,175,9.9GY 8.7/5.4,9.9,GY,8.7,5.4,187,221,170,8.8GY 8.4/5.0,8.8,GY,8.4,5.0,1.10,0.30,0.40,10.7
#93c592,147,197,146,10GY 7.5/6.1,10,GY,7.5,6.1,153,204,153,0.6G 7.7/6.0,0.6,G,7.7,6.0,0.60,-0.20,0.10,11.6
#679267,103,146,103,9.8GY 5.5/5.5,9.8,GY,5.5,5.5,102,153,102,0.3G 5.8/6.3,0.3,G,5.8,6.3,0.50,-0.30,-0.80,7.1
#355e3b,53,94,59,10GY 3.8/5.1,10,GY,3.8,5.1,51,102,51,9.8GY 3.8/6.5,9.8,GY,3.8,6.5,0.20,0.00,-1.40,11.5
#173620,23,54,32,9.4Y 1.8/3.5,9.4,Y,1.8,3.5,17,51,34,2.0G 1.8/4.0,2,G,1.8,4.0,12.60,0.00,-0.50,7.0
#008856,0,136,86,2.7G 4.9/8.9,2.7,G,4.9,8.9,0,136,85,2.8G 4.9/9.0,2.8,G,4.9,9.0,0.10,0.00,-0.10,1.0
#3eb489,62,180,137,4.6G 6.6/9.0,4.6,G,6.6,9.0,68,187,136,4.0G 6.8/9.3,4,G,6.8,9.3,0.60,-0.20,-0.30,9.3
#007959,0,121,89,4.9G 4.4/7.8,4.9,G,4.4,7.8,0,119,85,4.5G 4.3/7.4,4.5,G,4.3,7.4,0.40,0.10,0.40,4.5
#00543d,0,84,61,6.4GY 3.2/4.4,6.4,GY,3.2,4.4,0,85,68,7.1G 3.1/5.7,7.1,G,3.1,5.7,10.70,0.10,-1.30,7.1
#8ed1b2,142,209,178,4.4G 7.9/6.2,4.4,G,7.9,6.2,136,204,170,4.0G 7.6/6.0,4,G,7.6,6.0,0.40,0.30,0.20,11.2
#6aab8e,106,171,142,4G 6.4/6.4,4,G,6.4,6.4,102,170,136,3.8G 6.3/6.2,3.8,G,6.3,6.2,0.20,0.10,0.20,7.3
