sRGB_to_xyY:1 | vars: rgb_normalized=[0.8666666666666667, 0.9333333333333333, 0.9333333333333333] | action: CALC normalized RGB from 0-255 to 0-1
bounding_hues_from_renotation:1 | vars: hue=[7.2126479081995765, 3.0] | action: ENTER bounding hues calculation
bounding_hues_from_renotation:999 | vars: result=[[5.0, 3.0], [7.5, 3.0]] | action: RETURN bounding hues found
hue_to_hue_angle:1 | vars: hue=[5.0, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=135.0 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.2126479081995765, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=140.53161977049893 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.5, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=141.25 | action: RETURN angle calculated
interpolation_method_from_renotation_ovoid:1 | vars: specification=[7.2126479081995765, 9.0, 4.0, 3.0] | action: ENTER interpolation method determination
interpolation_method_from_renotation_ovoid:999 | vars: result=Linear | action: RETURN interpolation method determined
xy_from_renotation_ovoid:999 | vars: result=[0.28878619826727286, 0.34676665685297703] | action: RETURN xy coordinates calculated
hue_angle_to_hue:1 | vars: hue_angle=140.06617253993937 | action: ENTER angle to hue conversion
hue_angle_to_hue:999 | vars: result=[ 7.02646902  3.        ] | action: RETURN hue calculated
xy_from_renotation_ovoid:1 | vars: specification=[7.0264690159757492, 9, 2.0, 3.0], xy_target=None | action: ENTER xy coordinate calculation
bounding_hues_from_renotation:1 | vars: hue=[7.0264690159757492, 3.0] | action: ENTER bounding hues calculation
bounding_hues_from_renotation:999 | vars: result=[[5.0, 3.0], [7.5, 3.0]] | action: RETURN bounding hues found
hue_to_hue_angle:1 | vars: hue=[5.0, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=135.0 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.0264690159757492, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=140.06617253993937 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.5, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=141.25 | action: RETURN angle calculated
interpolation_method_from_renotation_ovoid:1 | vars: specification=[7.026469015975749, 9.0, 2.0, 3.0] | action: ENTER interpolation method determination
interpolation_method_from_renotation_ovoid:999 | vars: result=Linear | action: RETURN interpolation method determined
xy_from_renotation_ovoid:999 | vars: result=[0.2992682371808291, 0.33294400213827297] | action: RETURN xy coordinates calculated
xy_from_renotation_ovoid:1 | vars: specification=[7.0264690159757492, 9, 4.0, 3.0], xy_target=None | action: ENTER xy coordinate calculation
bounding_hues_from_renotation:1 | vars: hue=[7.0264690159757492, 3.0] | action: ENTER bounding hues calculation
bounding_hues_from_renotation:999 | vars: result=[[5.0, 3.0], [7.5, 3.0]] | action: RETURN bounding hues found
hue_to_hue_angle:1 | vars: hue=[5.0, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=135.0 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.0264690159757492, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=140.06617253993937 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.5, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=141.25 | action: RETURN angle calculated
interpolation_method_from_renotation_ovoid:1 | vars: specification=[7.026469015975749, 9.0, 4.0, 3.0] | action: ENTER interpolation method determination
interpolation_method_from_renotation_ovoid:999 | vars: result=Linear | action: RETURN interpolation method determined
xy_from_renotation_ovoid:999 | vars: result=[0.2891660032074095, 0.3471985918829363] | action: RETURN xy coordinates calculated
hue_angle_to_hue:1 | vars: hue_angle=140.2988062315162 | action: ENTER angle to hue conversion
hue_angle_to_hue:999 | vars: result=[ 7.11952249  3.        ] | action: RETURN hue calculated
xy_from_renotation_ovoid:1 | vars: specification=[7.1195224926064871, 9, 2.0, 3.0], xy_target=None | action: ENTER xy coordinate calculation
bounding_hues_from_renotation:1 | vars: hue=[7.1195224926064871, 3.0] | action: ENTER bounding hues calculation
bounding_hues_from_renotation:999 | vars: result=[[5.0, 3.0], [7.5, 3.0]] | action: RETURN bounding hues found
hue_to_hue_angle:1 | vars: hue=[5.0, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=135.0 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.1195224926064871, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=140.2988062315162 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.5, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=141.25 | action: RETURN angle calculated
interpolation_method_from_renotation_ovoid:1 | vars: specification=[7.119522492606487, 9.0, 2.0, 3.0] | action: ENTER interpolation method determination
interpolation_method_from_renotation_ovoid:999 | vars: result=Linear | action: RETURN interpolation method determined
xy_from_renotation_ovoid:999 | vars: result=[0.2991565730088722, 0.33281744941005514] | action: RETURN xy coordinates calculated
xy_from_renotation_ovoid:1 | vars: specification=[7.1195224926064871, 9, 4.0, 3.0], xy_target=None | action: ENTER xy coordinate calculation
bounding_hues_from_renotation:1 | vars: hue=[7.1195224926064871, 3.0] | action: ENTER bounding hues calculation
bounding_hues_from_renotation:999 | vars: result=[[5.0, 3.0], [7.5, 3.0]] | action: RETURN bounding hues found
hue_to_hue_angle:1 | vars: hue=[5.0, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=135.0 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.1195224926064871, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=140.2988062315162 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.5, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=141.25 | action: RETURN angle calculated
interpolation_method_from_renotation_ovoid:1 | vars: specification=[7.119522492606487, 9.0, 4.0, 3.0] | action: ENTER interpolation method determination
interpolation_method_from_renotation_ovoid:999 | vars: result=Linear | action: RETURN interpolation method determined
xy_from_renotation_ovoid:999 | vars: result=[0.2889761741150828, 0.34698270781715296] | action: RETURN xy coordinates calculated
maximum_chroma_from_renotation:1 | vars: hue=[7.1195224926064871, 9.2774063953977688, 3.0], value=None | action: ENTER maximum chroma lookup
bounding_hues_from_renotation:1 | vars: hue=[7.1195224926064871, 3.0] | action: ENTER bounding hues calculation
bounding_hues_from_renotation:999 | vars: result=[[5.0, 3.0], [7.5, 3.0]] | action: RETURN bounding hues found
maximum_chroma_from_renotation:999 | vars: result=17.822268983521283 | action: RETURN maximum chroma found
xy_from_renotation_ovoid:1 | vars: specification=[7.1195224926064871, 9, 2.0, 3.0], xy_target=None | action: ENTER xy coordinate calculation
bounding_hues_from_renotation:1 | vars: hue=[7.1195224926064871, 3.0] | action: ENTER bounding hues calculation
bounding_hues_from_renotation:999 | vars: result=[[5.0, 3.0], [7.5, 3.0]] | action: RETURN bounding hues found
hue_to_hue_angle:1 | vars: hue=[5.0, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=135.0 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.1195224926064871, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=140.2988062315162 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.5, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=141.25 | action: RETURN angle calculated
interpolation_method_from_renotation_ovoid:1 | vars: specification=[7.119522492606487, 9.0, 2.0, 3.0] | action: ENTER interpolation method determination
interpolation_method_from_renotation_ovoid:999 | vars: result=Linear | action: RETURN interpolation method determined
xy_from_renotation_ovoid:999 | vars: result=[0.2991565730088722, 0.33281744941005514] | action: RETURN xy coordinates calculated
xy_from_renotation_ovoid:1 | vars: specification=[7.1195224926064871, 9, 4.0, 3.0], xy_target=None | action: ENTER xy coordinate calculation
bounding_hues_from_renotation:1 | vars: hue=[7.1195224926064871, 3.0] | action: ENTER bounding hues calculation
bounding_hues_from_renotation:999 | vars: result=[[5.0, 3.0], [7.5, 3.0]] | action: RETURN bounding hues found
hue_to_hue_angle:1 | vars: hue=[5.0, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=135.0 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.1195224926064871, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=140.2988062315162 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.5, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=141.25 | action: RETURN angle calculated
interpolation_method_from_renotation_ovoid:1 | vars: specification=[7.119522492606487, 9.0, 4.0, 3.0] | action: ENTER interpolation method determination
interpolation_method_from_renotation_ovoid:999 | vars: result=Linear | action: RETURN interpolation method determined
xy_from_renotation_ovoid:999 | vars: result=[0.2889761741150828, 0.34698270781715296] | action: RETURN xy coordinates calculated
xy_from_renotation_ovoid:1 | vars: specification=[7.1195224926064871, 9, 2.0, 3.0], xy_target=None | action: ENTER xy coordinate calculation
bounding_hues_from_renotation:1 | vars: hue=[7.1195224926064871, 3.0] | action: ENTER bounding hues calculation
bounding_hues_from_renotation:999 | vars: result=[[5.0, 3.0], [7.5, 3.0]] | action: RETURN bounding hues found
hue_to_hue_angle:1 | vars: hue=[5.0, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=135.0 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.1195224926064871, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=140.2988062315162 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.5, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=141.25 | action: RETURN angle calculated
interpolation_method_from_renotation_ovoid:1 | vars: specification=[7.119522492606487, 9.0, 2.0, 3.0] | action: ENTER interpolation method determination
interpolation_method_from_renotation_ovoid:999 | vars: result=Linear | action: RETURN interpolation method determined
xy_from_renotation_ovoid:999 | vars: result=[0.2991565730088722, 0.33281744941005514] | action: RETURN xy coordinates calculated
xy_from_renotation_ovoid:1 | vars: specification=[7.1195224926064871, 9, 4.0, 3.0], xy_target=None | action: ENTER xy coordinate calculation
bounding_hues_from_renotation:1 | vars: hue=[7.1195224926064871, 3.0] | action: ENTER bounding hues calculation
bounding_hues_from_renotation:999 | vars: result=[[5.0, 3.0], [7.5, 3.0]] | action: RETURN bounding hues found
hue_to_hue_angle:1 | vars: hue=[5.0, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=135.0 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.1195224926064871, 3.0] | action: ENTER hue to angle conversion
hue_to_hue_angle:999 | vars: result=140.2988062315162 | action: RETURN angle calculated
hue_to_hue_angle:1 | vars: hue=[7.5, 3.0] | action: ENTER hue to angle conversion
