source,r,g,b,python_munsell,python_hue_num,python_hue_family,python_value,python_chroma,python_success,rust_munsell,rust_hue_num,rust_hue_family,rust_value,rust_chroma,rust_success,reference_munsell,reference_hue_num,reference_hue_family,reference_value,reference_chroma,hue_diff_py_rust,value_diff_py_rust,chroma_diff_py_rust,match_type,analysis
reference,0,51,204,5.3PB 5.1/14.3,5.3,PB,5.1,14.3,True,7.5PB 3.1/4.0,7.5,PB,3.1,4.0,True,6.8PB 3.1/19.4,6.8,PB,3.1,19.4,-2.200000000000003,1.9999999999999996,10.3,ALL_DIFFERENT,All three results are different
reference,0,85,187,9.8B 6.0/10.3,9.8,B,6.0,10.3,True,5.0PB 3.8/2.0,5.0,PB,3.8,2.0,True,5.9PB 3.7/13.4,5.9,PB,3.7,13.4,-5.200000000000003,2.2,8.3,ALL_DIFFERENT,All three results are different
reference,0,119,136,8.2BG 6.6/8.3,8.2,BG,6.6,8.3,True,7.5BG 4.5/2.0,7.5,BG,4.5,2.0,True,0.0B 4.5/6.0,0.0,B,4.5,6.0,0.7000000000000028,2.0999999999999996,6.300000000000001,ALL_DIFFERENT,All three results are different
reference,0,51,221,5.6PB 5.1/15.1,5.6,PB,5.1,15.1,True,7.5PB 3.3/4.0,7.5,PB,3.3,4.0,True,6.9PB 3.3/21.2,6.9,PB,3.3,21.2,-1.9000000000000057,1.7999999999999998,11.1,ALL_DIFFERENT,All three results are different
reference,0,85,204,0.9PB 6.0/11.0,0.9,PB,6.0,11.0,True,5.0PB 3.9/2.0,5.0,PB,3.9,2.0,True,6.3PB 3.9/15.5,6.3,PB,3.9,15.5,-4.099999999999994,2.1,9.0,ALL_DIFFERENT,All three results are different
reference,0,119,153,0.5B 6.7/8.3,0.5,B,6.7,8.3,True,10.0BG 4.5/2.0,10.0,BG,4.5,2.0,True,5.0B 4.5/6.7,5.0,B,4.5,6.7,0.5,2.2,6.300000000000001,ALL_DIFFERENT,All three results are different
reference,0,68,0,9.5GY 5.0/12.8,9.5,GY,5.0,12.8,True,5.0GY 2.4/2.0,5.0,GY,2.4,2.0,True,8.6GY 2.4/8.0,8.6,GY,2.4,8.0,4.5,2.6,10.8,ALL_DIFFERENT,All three results are different
reference,0,85,221,1.8PB 6.1/11.7,1.8,PB,6.1,11.7,True,5.0PB 4.0/2.0,5.0,PB,4.0,2.0,True,6.6PB 4.0/17.6,6.6,PB,4.0,17.6,-3.200000000000003,2.0999999999999996,9.7,ALL_DIFFERENT,All three results are different
reference,0,119,170,2.7B 6.7/8.5,2.7,B,6.7,8.5,True,5.0PB 4.6/2.0,5.0,PB,4.6,2.0,True,9.2B 4.6/8.0,9.2,B,4.6,8.0,-12.299999999999997,2.1000000000000005,6.5,ALL_DIFFERENT,All three results are different
reference,0,68,17,1.6G 5.0/10.0,1.6,G,5.0,10.0,True,7.5GY 2.4/2.0,7.5,GY,2.4,2.0,True,9.5GY 2.4/7.4,9.5,GY,2.4,7.4,4.100000000000001,2.6,8.0,ALL_DIFFERENT,All three results are different
