name,coordinates
Attractive Gold,#C5AE4B
Rough Gold,#BE9829
Golden Tainoi,#FFCC5C
Yukon Gold,#7B6608
Golden Sand,#F0DB7D
Palace Gold,#E0AE08
Extreme Gold,#C0971B
Abstract Gold,#9C9442
Rose Gold Mist,#D5C2C3
Light Harvest Gold,#E0B974
Golden Peach,#F9E1C5
Zen Gold,#B49834
Casual Gold,#BBA747
Gold Tips,#DEBA13
Gold Drop,#F18200
Golden Bell,#E28913
Golden Dream,#F0D52D
Sacred Gold,#AE8F05
Prom Gold,#AA8A50
Sheer Gold,#F9EABC
Sun-Kissed Gold,#EABA56
Spring Gold,#F7B71F
Kawaii Gold,#F0CD75
Holy Gold,#C1A004
Native Gold,#DDB328
Coronation Gold,#FEB946
Authentic Gold,#E6A822
Pirate Gold,#BA7F03
Alloy Gold,#B4A473
Cute Gold,#E8CA7A
Business Gold,#645B24
Gold Crush,#EBCC6D
Reef Gold,#9F821C
24K Gold,#F3BD12
Bold Gold,#9D7D1E
Luxurious Gold,#CEA734
Faded Rose Gold,#C39CA4
Brightest Gold,#FFD971
Alabama State University Gold,#C99700
Dull Gold Yellow,#CBB658
Towson Gold,#FFBB00
Cold Gold,#9B955D
Goldenrod (Crayola),#FCD667
Romantic Gold,#E5B723
Golden Beryl Yellow,#D9A400
UCF Knights Gold,#BA9B37
Bronze Olive,#4E420C
Olive (Xona),#3B5E2B
Citrusy Olive,#D2E3B5
Olive Haze,#8B8470
Soft Olive,#59604F
Dull Olive,#7A7564
Olivetone,#716E10
Dark Olive Beige,#A68958
Olive Green (Crayola),#B5B35C
Yellow Olive,#BFAE2B
Burnt Olive,#646049
Bright Olive,#A1A556
Off-White Olive,#D0D2C1
Gothic Olive,#7C6E4E
Classic Olive,#75773C
Olive Branch,#6A6A45
Military Olive (Pantone),#63563B
Olive Gray (Pantone),#A6997A
Olive Night,#535040
Army Olive,#676B4A
Neutral Olive,#7C7C64
Ecru Olive,#927B3C
Dark Olive,#574D35
Army Dark Olive,#585944
Pale Olive Green,#B5AD88
Martini Olive,#726A4E
Olive Drab (Pantone),#756D47
Light Olive (RAL Design),#D4C964
Olive Skin,#CCAB8B
Pale Olive Skin,#E5D0BB
Olive Oil (Pantone),#A98B2D
Rich Olive,#3E4740
Tawny Olive,#C4962C
Olivenite,#C1A65C
Black Olive (Pantone),#48413B
Camouflage Olive Green,#404627
Golden Olive,#AF9841
Green Woodpecker Olive,#7D7853
Green Olive,#8D8B55
Military Olive,#62623D
Olive Black,#4B4031
Capulet Olive,#656344
Warm Olive,#C7B63C
Dusty Olive (Pantone),#646356
Matte Olive (RAL Design),#998F7F
Smokey Olive,#6A685D
Dark Olive Green (RAL Design),#454636
Pale Olive,#C2C29A
Dusty Olive,#959778
Manzanilla Olive,#9E8F6B
Camouflage Olive (RAL Design),#A28F5C
Pale Olive (RAL Design),#D3C7A1
Olive Oil,#DFD855
Olive Green,#81864A
Olive Gray,#A09F8D
Light Olive,#BDBC70
Deep Olive,#676700
Olive Brown (RAL),#6F4A25
Camouflage Olive,#544F3D
Warm Khaki,#CB996C
Casual Khaki,#988B63
Khaki (Pantone),#A39264
Rare Khaki,#B1A079
Dark Khaki Green,#857153
Army Khaki,#C7B090
Comfort Khaki,#CCC294
Forest Floor Khaki,#78766D
Khaki Green (RAL Design),#6A5A39
Light Khaki (RAL Design),#998D7C
Pale Khaki,#BFAF92
Vintage Khaki,#9A9186
Cool Khaki,#D4CFA9
Police Khaki,#A38F58
Khaki Green,#8A865D
Light Khaki,#D6C9AF
Matte Khaki,#AA9C70
Pastel Khaki,#DAD4B6
Khaki Grey,#725F3C
Khaki Traditional,#C4B289
Dark Khaki,#BDB76B
Khaki,#F0E68C
Complete List of HTML Color Names,#333333
Desert Beige,#AB9A8D
Casual Beige,#B19F82
Earthy Beige,#AB9082
Bright Beige,#C5A589
Abstract Beige,#A69A7E
Authentic Beige,#A98C6D
Bermuda Beige,#DECEAB
Charming Beige,#C8A688
Mocha Beige,#8E756E
Clay Beige,#8E867A
Dusty Beige,#B9A28E
Calm Beige,#B5A69E
Light Beige (RAL Design),#CFC5B0
Straw Beige,#D4BF8D
Champagne Beige (RAL Design),#D4C49E
Gentle Beige,#B19C8D
Beige (Xona),#A39480
Nashi Pear Beige,#EDD4B1
Sandy Beige,#AD9A8B
Weathered Beige,#BAA798
Summer Beige,#E3C8A5
Halston Beige,#C3B499
Mineral Beige,#D8C49F
Supreme Beige,#C9A98D
Jute Beige,#E1C6B2
Velvet Beige,#D0C5B1
Original Beige,#C9AD93
Beige Dune,#B9976E
Maple Beige,#FAD0A1
Beige Glory,#DACCC1
Beige Sahara,#C6AB80
Simple Beige,#B6967E
Beige Taupe,#927C66
Beige Wood,#CA9F85
Beige Vintage,#A69681
Beige Latte,#C2A48C
Aesthetic Beige,#C2A083
Biscuit Beige,#E6BFA6
Beige Cream,#EEDEC5
Pearly Beige,#D8D2CB
Basic Beige,#C5A57D
Just Beige,#DBC7B1
Rose Beige,#BE9490
Carnelian Beige,#E5CEB1
Light Chamois Beige,#D1C6BE
Barely Beige,#D2C1B1
Cool Beige,#C2B1A5
Buff Beige,#E2BBA3
Balanced Beige,#BDAC9F
Cornmeal Beige,#EBD5C5
Army Beige,#C4B09E
Garlic Beige,#B0AAA1
Pink Beige,#D8BAB1
Satin Beige,#D9BEA7
Mustard Seed Beige,#C5A574
Boho Beige,#926C4F
Copper Beige,#D49A83
Light Pink Beige,#E1C5C0
Bold Brown,#603732
Cigar Brown,#773F1A
Van Dyke Brown,#5E2605
Cute Brown,#C4A59B
Pastel Light Brown,#B89D91
